Shortest:8 Longest:28 Average:18.75
Shortest:32 Longest:32 Average:32.0
Shortest:91 Longest:91 Average:91.0
Shortest:7 Longest:34 Average:17.8
Shortest:187 Longest:187 Average:187.0
Shortest:18 Longest:18 Average:18.0
Shortest:33 Longest:33 Average:33.0
Shortest:287 Longest:287 Average:287.0
Shortest:637 Longest:637 Average:637.0
Shortest:27 Longest:27 Average:27.0
Shortest:216 Longest:216 Average:216.0
Shortest:6 Longest:23 Average:13.833333333333334
Shortest:10 Longest:25 Average:15.333333333333334
Shortest:24 Longest:24 Average:24.0
Shortest:2 Longest:33 Average:11.25
Shortest:4 Longest:17 Average:10.6
Shortest:9 Longest:42 Average:19.375
Shortest:139 Longest:305 Average:228.5
